id,Title,Content,Video Link,Case Study Link,Blog Post Link,Media / PR Link,Webinar Link
29813,Aflac,testing123,,,,,
29815,AMGen,,,,,,
29817,AT&T,,,,,,
29819,BAE Systems,,,,https://www.nutanix.com/2016/01/06/nutanix-hyperconverged-infrastructure-enables-bae-systems-to-deliver-desktops-as-a-service/,,
29821,BART,,,,,,
29823,BlueCross BlueShield of Arizona,,,,,,
29825,Cleveland State Community College,,,https://www.nutanix.com/resource/cleveland-state-community-college-cleveland-state-community-college-saves-40-on-vdi-investment-with-nutanix-and-user-experience-is-faster-than-pcs/,,,
29827,Covance,,,,,,
29829,Deloitte,,,,,,
29831,Everbright International,,,,,,
29833,Exelis,,,,,,
29835,Gazprom,,,,,,
29837,General Dynamics,,,,,,
29839,Hyundai,,https://www.youtube.com/watch?v=gE8ziZoKAK8,,,,
29841,Hyundai HYSCO,,,,,,
29843,Independent Health,,,,,,
29845,Liberty Global,,,,,,
29847,MayBank,,,,,,
29849,New York Life,,,,,,
29851,OnTrac,,,,,,
29853,OshKosh,,,,,,
29855,Panasonic,,,,,,
29857,Protected Trust,,,https://www.nutanix.com/resource/protected-trust-launches-virtual-private-cloud-servers-with-nutanix/,,,http://go.nutanix.com/ready-set-grow-your-as-a-service-business.html
29859,Restoration Hardware,,,,,,
29861,Sempra Energy,,,,,,
29863,Serco,,,https://www.nutanix.com/resource/serco-calls-on-nutanix-for-rapid-web-scale-vdi/,https://www.nutanix.com/2015/04/15/getting-ready-for-next/,,
29865,SK Telecom,,,,,,
29869,Staples,,,,,,
29871,Swedbank,,,,,,
29873,Synergics,,,https://www.nutanix.com/resource/synergics-scales-up-with-nutanix-for-simplicity-and-agility/,,,
29875,Telstra,,,,,,
29877,TransGrid,,,,,,
29879,TriCounty Technical College,,,https://www.nutanix.com/resource/tri-county-college-for-tri-county-college-nutanix-has-the-secret-sauce-to-make-vdi-cost-effective-and-fast/,,,
29881,U.S. Army,,,,,,
29882,US Foods,,,,,,
29884,United States Postal Service,,,,,https://www.nutanix.com/press-releases/2014/03/19/nutanix-redefines-government-datacenter-marketplace-helps-streamline-agency-it-operations/,
29886,Vail Resorts,,,,,,
29888,Vitacost,,,https://www.nutanix.com/resource/vitacost-com-switches-to-nutanix-for-vdi/,,,
29890,ebay,,,,,,
29892,Prairie North Health Region,,https://www.youtube.com/watch?v=vUhPpiSje78,,,http://wordpress-30500-70828-192912.cloudwaysapps.com/press-releases/2014/07/10/prairie-north-health-region-improves-patient-care-with-nutanix/,
29894,Bankadati,,,,,,
29896,Best Buy,,,,,,
29898,MBB Radiology,,,https://www.nutanix.com/resource/mbb-radiology-images-brighter-future/,,,
29900,Pacific Dental Services,,,,,,
29902,Delen Private Bank,,,,http://wordpress-30500-70828-192912.cloudwaysapps.com/2016/10/31/delen-private-bank-heads-next-vienna-2016/,,
29904,Lion Group,,,https://www.nutanix.com/resource/lion-group-trusts-in-nutanix-to-build-private-cloud-for-new-group-wide-hr-system/,,,
29906,Nashville Wire,,,https://www.nutanix.com/resource/nashville-wire-nashville-wire-transitions-to-san-free-datacenter-to-achieve-simplicity-and-cost-reduction/,,,
29908,William Jessup University,,,https://www.nutanix.com/resource/william-jessup-university-achieves-94-rack-space-reduction-and-easy-scalability/,,,
29910,Blue Springs School District,,,https://www.nutanix.com/resource/blue-springs-school-district-makes-educated-decision-move-nutanix/,,,
29912,Richter,,,https://www.nutanix.com/resource/richter-financial-services-firm-extends-virtualization-enterprise-applications-nutanix/,,,
29914,LifeSource,,,,,,
29916,Vizergy,,,,,,
29917,US Intelligence Community,,,,,,
29918,Bauer Built Tire,,,http://wordpress-30500-70828-192912.cloudwaysapps.com/resource/bauer-built-tire-drives-straight-nutanix/,,,
29920,DeWitt Stern,,,https://www.nutanix.com/resource/dewitt-stern-insurance-brokerage-vdi/,,,
29922,Farmers Insurance Group Federal Credit Union,,https://www.youtube.com/watch?v=BloSpnhqrP0,https://www.nutanix.com/resource/farmers-insurance-group-federal-credit-union-farmers-insurance-group-federal-credit-union-relies-on-nutanix-performance-and-availability-for-vdi-installation/,,,
29924,Imperial PFS,,,https://www.nutanix.com/resource/imperial-pfs-imperial-pfs-relies-on-nutanix-for-vdi-disaster-recovery/,,,
29927,Sanity Music,,,https://www.nutanix.com/resource/sanity-music-makes-in-store-searches-fast-with-virtual-desktops-running-on-nutanix/,,,
29929,ADD,,,https://www.nutanix.com/resource/add-risk-management-firm-add-ensures-optimal-infrastructure-performance-with-nutanix/,,,
29933,Claranet,,,https://www.nutanix.com/resource/claranet-claranet-switches-to-nutanixfor-hosting-managed-services/,,,
29935,FPI,,,https://www.nutanix.com/resource/fpi-for-fpi-nutanix-is-the-perfect-standalone-vdi-platform/,,,
29936,InComm,,https://www.youtube.com/watch?v=iVChGX4F1W0,https://www.nutanix.com/resource/incomm-incomm-breaks-through-test-and-development-bottleneck-with-nutanix-platform/,,,
29937,Langs Building Supplies,,https://www.youtube.com/watch?v=dZwE9ZNkstM,https://www.nutanix.com/resource/langs-langs-building-supplies-demolishes-it-infrastructure-costs-by-53-with-nutanix/,,,http://go.nutanix.com/langs-converged-infrastructure-customer-case-study.html
29939,Language Access Network,,https://www.youtube.com/watch?v=vxJ1MV5qR-c,https://www.nutanix.com/resource/language-access-network-real-time-remote-video-interpretation-for-hospitalsdelivered-with-nutanix-complete-cluster/,,,
29941,Mason IT,,,https://www.nutanix.com/resource/mason-it-for-mason-it-nutanix-is-the-perfect-platform-for-hosting-cloud-services/,,,
29944,NJVC,,,https://www.nutanix.com/resource/njvc-njvc-achieves-unattainable-vdi-goal-with-nutanix/,,,
29946,Swisslos,,https://www.youtube.com/watch?v=ZhzMxXoWq5E,,https://www.nutanix.com/2015/04/13/swisslos-and-nutanix-next/,http://wordpress-30500-70828-192912.cloudwaysapps.com/press-releases/2015/02/03/swisslos-migrates-online-lottery-business-nutanix/,
29947,Rush University Medical Center,,https://www.youtube.com/watch?v=hCmJ0MRGAYY,,,,
29949,LA Fitness,,https://www.youtube.com/watch?v=wlDqHiYlkm4,,,,
